STATE,COUNTY,TRACT,TRACT_NO,FIPS2020,POPULATION,LABEL,LABEL_NOTE,NEIGHBORHOOD_ASSOCIATION,OPTION_1,OPTION_1_NAME,OPTION_2,OPTION_3,density
41,51,5601,56.01,41051005601,2904,SW,inner SW,SWNI,4,4-W-N-L,4,1,78.04082295
41,51,4902,49.02,41051004902,2441,NW,inner NW,NWNW,4,4-W-N-L,4,1,45.15915142
41,51,5202,52.02,41051005202,2937,SW,inner SW,SWNI,4,4-W-N-L,4,1,41.2678729
41,51,5001,50.01,41051005001,3473,NW,inner NW,NWNW,4,4-W-N-L,4,1,40.76683928
41,51,4800,48,41051004800,3070,NW,inner NW,NWNW,4,4-W-N-L,4,1,40.12728545
41,51,4901,49.01,41051004901,3074,NW,inner NW,NWNW,4,4-W-N-L,4,1,39.58867722
41,51,5101,51.01,41051005101,4433,NW,inner NW,NWNW,4,4-W-N-L,4,1,37.35993419
41,51,5102,51.02,41051005102,3113,NW,inner NW,NWNW,4,4-W-N-L,4,1,35.9159861
41,51,10601,106.01,41051010601,1718,SW,inner SW,SWNI,4,4-W-N-L,4,1,34.58349098
41,51,5500,55,41051005500,3038,SW,inner SW,SWNI,4,4-W-N-L,4,1,30.59834767
41,51,5602,56.02,41051005602,2370,SW,inner SW,SWNI,4,4-W-N-L,4,1,28.00039531
41,51,5103,51.03,41051005103,3920,NW,inner NW,NWNW,4,4-W-N-L,4,1,26.92513008
41,51,5201,52.01,41051005201,2180,SW,inner SW,SWNI,4,4-W-N-L,4,1,26.03778638
41,51,1203,12.03,41051001203,2365,SE,inner SE,SEUL,2,2-SEUL,2,1,25.47210578
41,51,4700,47,41051004700,4346,NW,near hills,NWNW,4,4-W-N-L,4,1,24.61143201
41,51,1204,12.04,41051001204,3052,SE,inner SE,SEUL,2,2-SEUL,2,1,22.38706586
41,51,5902,59.02,41051005902,4168,SW,inner S,SWNI,4,4-W-N-L,4,1,22.30457185
41,51,1301,13.01,41051001301,4099,SE,inner SE,SEUL,2,2-SEUL,2,1,22.2725291
41,51,3402,34.02,41051003402,4120,NE,inner NE,NECN,3,3-NECN-CNN,3,1,21.56489961
41,51,902,9.02,41051000902,4910,SE,near sellwood,SEUL,2,2-SEUL,2,1,19.84039296
41,51,5702,57.02,41051005702,3790,SW,inner SW,SWNI,4,4-W-N-L,4,1,19.77295242
41,51,2002,20.02,41051002002,3692,NE,inner NE,SEUL,2,2-SEUL,2,1,19.18408403
41,51,1400,14,41051001400,5666,SE,near tabor,SEUL,2,2-SEUL,2,1,18.86708188
41,51,3301,33.01,41051003301,3340,NE,inner NE,NECN,3,3-NECN-CNN,3,1,18.23532736
41,51,9002,90.02,41051009002,5121,SE,east se,EPCO,1,1-EPCO,1,,18.10529966
